timestamp,region,market,name,retailer,balancing_price_sell,balancing_price_buy,balancing_quantity_sell,balancing_quantity_buy
1616540400,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616541300,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616542200,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616543100,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616544000,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616544900,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616545800,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616546700,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616547600,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616548500,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616549400,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616550300,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616551200,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616552100,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616553000,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616553900,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616554800,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616555700,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616556600,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616557500,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616558400,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616559300,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616560200,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616561100,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616562000,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616562900,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616563800,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616564700,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616565600,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616566500,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616567400,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616568300,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616569200,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616570100,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616571000,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616571900,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616572800,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616573700,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616574600,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616575500,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616576400,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616577300,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616578200,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616579100,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616580000,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616580900,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616581800,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616582700,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616583600,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616584500,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616585400,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616586300,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616587200,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616588100,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616589000,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616589900,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616590800,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616591700,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616592600,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616593500,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616594400,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616595300,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616596200,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616597100,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616598000,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616598900,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616599800,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616600700,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616601600,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616602500,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616603400,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616604300,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616605200,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616606100,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616607000,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616607900,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616608800,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616609700,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616610600,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616611500,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616612400,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616613300,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616614200,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616615100,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616616000,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616616900,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616617800,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616618700,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616619600,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616620500,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616621400,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616622300,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616623200,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616624100,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616625000,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
1616625900,example_small,lem,continuous,retailer,0.1,0.1,1000000.0,1000000.0
